id,producent_id,hodnota,jednotka,uroven,zdroj,poznamka
1,2,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
2,3,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
3,4,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
4,5,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
5,6,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
6,7,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
7,8,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
8,9,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
9,10,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
10,11,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
11,12,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
12,13,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
13,14,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
14,15,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
15,16,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
16,17,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
17,18,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
18,19,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
19,20,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
20,21,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
21,22,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
22,92,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
23,102,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
24,103,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
25,119,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
26,123,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
27,125,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
28,129,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
29,130,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
30,131,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
31,153,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
32,165,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
33,172,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
34,173,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
35,174,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
36,175,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
37,179,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
38,180,299.0,žiak,typova,"CVTI SR, Vývojové tendencie 2022: (72 776 + 121 470) žiakov / (233 gymnázií + 416 SOŠ) (2021/22)",Aritmetický priemer gymnázií a SOŠ.
